name,artist_1,artist_2,uri,year,popularity,explicit,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Let Her Go,Passenger,,spotify:track:7DFNE7NO0raLIUbgzY2rzm,2012,75,False,252867,0.509,0.538,7,-7.335,1,0.0572,0.385,0.0,0.104,0.244,75.089
One Day / Reckoning Song (Wankelmut Remix) [Radio Edit],Asaf Avidan & the Mojos,Wankelmut,spotify:track:3gNNXc7GUgKRPR15W77eDR,2012,0,False,213187,0.821,0.676,3,-6.366,0,0.0547,0.187,0.0001,0.0904,0.559,119.012
Feel So Close - Radio Edit,Calvin Harris,,spotify:track:1gihuPhrLraKYrJMAEONyc,2012,79,False,206413,0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937
Counting Stars,OneRepublic,,spotify:track:6sy3LkhNFjJWlaeSMNwQ62,2014,72,False,257840,0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.115,0.477,122.017
Get Up (Rattle) - Vocal Edit,Bingo Players,Far East Movement,spotify:track:4W9KBjqf2lyUF6MdX0vsJm,2013,46,False,166933,0.801,0.985,7,-2.69,1,0.0645,0.0205,6.86e-06,0.296,0.722,127.99
When I Was Your Man,Bruno Mars,,spotify:track:0nJW01T7XtvILxQgC5J7Wh,2012,82,False,213827,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795
Crazy Kids,Kesha,,spotify:track:2Qu4snHWjiF1bIIggf3R8i,2012,0,True,230747,0.742,0.706,0,-4.6,0,0.0433,0.0141,0.00568,0.133,0.478,128.03
Bella Vita - DJ Antoine vs. Mad Mark 2K13 Radio Edit,DJ Antoine,,spotify:track:6hp3KubrbcERP2g8ude9jR,2013,43,False,203820,0.722,0.844,10,-5.015,1,0.16,0.0138,0.0,0.166,0.563,125.038
Impossible,James Arthur,,spotify:track:5yVIlYEHZxQVLyInCdldoS,2013,77,False,209440,0.376,0.696,0,-4.785,0,0.0949,0.141,0.0,0.11,0.303,169.515
Trumpsta - Djuro Remix,Contiez,Djuro,spotify:track:5la4dy8Tc1M6X6BanOHZ2H,2012,34,False,258750,0.958,0.539,1,-7.597,1,0.254,0.000723,0.744,0.134,0.211,128.0
Dear Darlin',Olly Murs,,spotify:track:0ZAqidNny4qh1RwM6LjOir,2012,2,False,206373,0.514,0.828,11,-4.672,0,0.0454,0.00626,8.73e-06,0.119,0.34,124.008
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,Hayley Williams,spotify:track:4bT2zLVv2T4GiK9q9KtI0v,2014,62,False,217347,0.596,0.738,8,-3.109,1,0.0411,0.109,0.0,0.0947,0.461,127.961
Fire Fly,Childish Gambino,,spotify:track:1Mx97utPpQdM4shyKXLfDp,2011,0,True,203547,0.672,0.889,11,-3.902,0,0.224,0.167,0.0,0.314,0.479,87.47
It's Alright - The Guvnor Mix,East 17,,spotify:track:3PMlBjVjaNHytufQltTaZr,1993,0,False,280961,0.612,0.934,5,-4.767,0,0.0417,0.0197,0.0,0.12,0.391,129.941
My Generation - Original Mono Version,The Who,,spotify:track:6UdCTwbVAvNqbWyZKZiRWL,1965,0,False,197320,0.332,0.822,0,-6.558,0,0.0988,0.165,9.33e-05,0.161,0.745,96.253
Bilder im Kopf,Sido,,spotify:track:3AzVdNe7tCYbjjRzQyVLbN,2012,59,False,238560,0.7,0.829,0,-5.418,1,0.202,0.0823,0.0,0.323,0.892,90.048
Fiesta - Michael Mind Project Video Edit,Carlprit,Michael Mind Project,spotify:track:2JQkq0krSQHMIiLURIum2j,2012,37,False,191007,0.544,0.923,6,-5.594,1,0.219,0.0159,0.0,0.336,0.779,128.326
Reload - Vocal Version / Radio Edit,Sebastian Ingrosso,Tommy Trash,spotify:track:2sBWCCylFvS2wEIaW4NTv8,2013,0,False,221280,0.487,0.737,4,-4.629,0,0.0513,0.0762,1.12e-06,0.0602,0.404,128.054
Turn All the Lights On (feat. Ne-Yo),T-Pain,Ne-Yo,spotify:track:5Ue25r0VGvZR7vaw3iB0gZ,2011,62,True,216440,0.697,0.807,6,-3.049,0,0.0587,0.0382,0.0,0.471,0.732,127.01
Everybody - Radio Edit,Mike Candys,Evelyn,spotify:track:0BOKPwDkzLW9cmdgPhaXiF,2013,30,False,179789,0.76,0.837,5,-2.782,0,0.118,0.11,1.59e-05,0.0615,0.701,127.967
Lila Wolken,Marteria,Yasha,spotify:track:3CT1nhEnqol4rHIdwD7Rr7,2012,61,False,228053,0.543,0.676,1,-6.431,1,0.053,0.185,0.0,0.301,0.166,143.887
Summer Jam,R.I.O.,U-Jean,spotify:track:0pJV5fExkPQosiiDp4OvUj,2012,58,False,182657,0.747,0.716,1,-5.152,0,0.0308,0.0828,7.59e-06,0.0773,0.849,128.001
This Is Nightlife - Video Edit,ItaloBrothers,,spotify:track:0IpiiTfaDSiqpYg9MlBxw4,2013,0,False,162000,0.642,0.784,11,-5.286,0,0.032,0.0271,3.03e-05,0.308,0.877,128.004
