danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms
0.777,0.587,5,-5.023,0,0.183,0.0316,7.12e-05,0.0416,0.857,127.966,spotify:track:0bLFr9Lg9cKIMQV9hvHg8m,191080
0.472,0.879,1,-1.723,0,0.0505,0.0698,0.0,0.259,0.403,90.074,spotify:track:2GL7gMtjLgbttGGCrUqeTd,210320
0.665,0.886,9,-4.175,0,0.0514,0.0469,6.24e-05,0.0525,0.53,128.062,spotify:track:1oHxIPqJyvAYHy0PVrDU98,240347
0.828,0.755,10,-4.116,0,0.156,0.0202,9.61e-06,0.0625,0.862,108.056,spotify:track:0pDYeia7ZXB8kbCuSc5hKp,269147
0.558,0.8,9,-3.776,1,0.173,0.0104,0.0,0.234,0.812,150.068,spotify:track:05q207shONzq488RXdV0S1,218093
0.793,0.913,5,-5.324,0,0.17,0.00783,0.0761,0.246,0.681,129.99,spotify:track:16lMe3mw46b7QRqO4eIdCZ,232533
0.711,0.916,2,-4.493,1,0.0638,0.012,9.79e-06,0.154,0.454,127.006,spotify:track:3Z0KOu0VhHD9djitsBx1BR,169355
0.725,0.921,1,-5.498,0,0.0633,0.139,0.0,0.277,0.92,131.608,spotify:track:50kj6mfIMyySqjssvapXn3,190494
0.646,0.892,6,-2.681,0,0.0695,0.0362,0.0,0.176,0.513,127.962,spotify:track:0BUI6QztiVlo6GK32zYW5K,167143
0.699,0.915,10,-3.382,0,0.0565,0.0704,0.0,0.169,0.775,127.968,spotify:track:73htmdTpGdBPAhHdpEblRU,206787
0.888,0.667,0,-6.374,1,0.124,0.0569,0.0,0.119,0.745,110.042,spotify:track:5iZVTYv8j4nyaNwlzf0T7H,264284
0.843,0.834,5,-5.427,0,0.119,0.0624,0.0,0.897,0.969,128.025,spotify:track:6ZqZKF6iyaVOFwjk5ILoyq,185649
0.697,0.869,0,-5.155,0,0.162,0.13,0.0,0.306,0.709,127.915,spotify:track:4cdibe2Gw6OipksnOAZyQF,190485
0.929,0.339,1,-10.881,1,0.371,0.0373,1.96e-05,0.187,0.273,98.986,spotify:track:21nFIDqoD1L7ELsprVSzOR,203200
0.812,0.857,4,-6.034,1,0.103,0.0083,0.0,0.354,0.651,126.951,spotify:track:62pIfDe2RdhUfYmRWdo9ZJ,210000
0.653,0.789,6,-5.026,0,0.0312,0.0137,3.09e-05,0.374,0.593,127.013,spotify:track:1UjgPHpST8aSMvZrMWAH3r,171533
0.624,0.951,4,-4.374,1,0.181,0.0199,0.0,0.17,0.595,127.938,spotify:track:0q1KvQDZEN2JmmmYWXOhtM,184613
0.729,0.732,10,-4.303,1,0.0517,0.0106,0.0,0.0951,0.547,127.914,spotify:track:7ggU8237ZuzJxy4aVBGnmG,200920
0.654,0.771,11,-4.844,0,0.0928,0.00898,0.0,0.0966,0.286,131.876,spotify:track:3O6xjfDP08rqcfqMD7lnEg,204115
0.551,0.893,7,-2.628,1,0.0543,0.00166,0.0,0.348,0.794,125.083,spotify:track:0aBKFfdyOD1Ttvgv0cfjjJ,219987
0.61,0.843,0,-4.894,1,0.0296,0.000118,0.000392,0.373,0.916,127.981,spotify:track:4CPygBmg8tShp6vHxf9ntz,201459
0.93,0.584,6,-8.688,1,0.0443,0.0197,0.00227,0.102,0.923,130.024,spotify:track:2ta32gI6EPiCgnrOXnslOm,203240
0.573,0.817,2,-5.51,1,0.0534,0.0199,0.0,0.69,0.503,128.023,spotify:track:3TD21S7DgPAsQFsdAOE8zP,178321
0.732,0.772,5,-5.779,0,0.241,0.0209,0.00152,0.878,0.573,128.038,spotify:track:2UT8Re2t44hoUYCKJcOdqn,180000
0.693,0.921,1,-3.457,0,0.191,0.136,0.0,0.591,0.651,122.134,spotify:track:7g9UjIFjs7KihId4XgIWQI,196617
0.699,0.812,6,-5.772,0,0.135,0.00461,0.0161,0.397,0.749,127.916,spotify:track:0zQXwzM2gtGfClqBBTsKXp,217270
0.672,0.899,0,-4.197,1,0.0473,0.00321,1.96e-05,0.34,0.488,127.967,spotify:track:3V3BtIfN5FwhnnaV5a6xAu,183089
0.557,0.77,11,-7.084,0,0.0397,0.0262,4.08e-06,0.119,0.342,149.964,spotify:track:0dZ5AOJd3E9SUrPeKYeMbK,191170
0.62,0.865,0,-4.697,0,0.0412,0.00929,0.0,0.453,0.555,128.037,spotify:track:79MkbP0nYwH5LG9fzwuCjZ,212467
0.606,0.816,5,-3.787,1,0.0616,0.0109,5.8e-05,0.223,0.476,127.982,spotify:track:3nay4trOaT3jnPCreU5BIO,196293
0.766,0.376,10,-8.622,0,0.0267,0.252,0.00861,0.0908,0.257,109.944,spotify:track:2fbXJ0VpxhW7j0qcg1DnoZ,239120
0.763,0.807,1,-3.714,1,0.035,0.0714,0.28,0.348,0.559,103.038,spotify:track:3FtYbEfBqAlGO46NUDQSAt,229640
0.696,0.546,5,-6.55,1,0.0414,0.00379,3.8e-06,0.332,0.787,130.002,spotify:track:5cCAZS9VhLGEDV4NCfieeg,210267
0.725,0.662,9,-5.068,1,0.0404,0.0144,0.0,0.0996,0.814,122.989,spotify:track:33CB8obztQNidFDbO6Z1Wl,200813
0.399,0.326,7,-9.239,0,0.0386,0.864,0.0,0.191,0.546,79.206,spotify:track:61S0mEfdRtJ62Fc7fPqx0U,174000
0.653,0.953,5,-4.307,0,0.112,0.12,0.0139,0.137,0.46,129.055,spotify:track:3lEL5rTa86urrKRRunT6Lr,167398
0.564,0.856,7,-5.075,0,0.0538,0.00314,3.74e-05,0.311,0.319,127.983,spotify:track:7MLSUbB20MvCmqDgL2gCco,207600
0.7,0.959,9,-4.483,1,0.0499,0.103,0.0,0.404,0.877,131.005,spotify:track:0ELV9UkTP2505QXAsoM0iI,177939
0.799,0.787,11,-5.02,1,0.0489,0.0241,0.00053,0.409,0.962,128.033,spotify:track:3eqeE039Sa2bOSQl06F3nf,237800
0.769,0.771,0,-4.794,0,0.132,0.00673,0.0,0.323,0.704,124.982,spotify:track:3itAdIDLIwKskzx3bRIKrx,194583
0.833,0.806,10,-5.946,0,0.113,0.231,0.00944,0.0681,0.64,110.098,spotify:track:59JayqW5h9kyhLEcCTwPRX,179625
0.345,0.0581,3,-17.217,1,0.0374,0.976,0.000366,0.103,0.304,174.117,spotify:track:3JOVTQ5h8HGFnDdp4VT3MP,189507
0.579,0.803,4,-4.893,0,0.148,0.79,0.0582,0.0813,0.396,180.03,spotify:track:1PbsliSdEPxPRqtsrKFzOR,179134
0.603,0.946,8,-3.369,0,0.228,0.000335,0.0604,0.0936,0.3,133.986,spotify:track:5OW1Zo95O1j4gJYk7Lafbk,186520
0.409,0.417,6,-9.038,0,0.0356,0.588,0.0627,0.124,0.186,130.112,spotify:track:6Rcl83L6fCXbdJPSG5HAQh,266613
0.531,0.359,10,-7.672,1,0.0619,0.749,0.0,0.112,0.254,121.249,spotify:track:4Vc3bzFxXdrABa2DxgyCMT,229720
